Dimension : Anvil height,"3.60000",mm
Dimension : Area,"181.17160",mm^2
Dimension : Final anvil height,"3.60000",mm
Dimension : Final area,"181.17160",mm^2
Dimension : Final thickness,"13.46000",mm
Dimension : Final width,"13.46000",mm
Dimension : Geometry,Rectangular
Dimension : Thickness,"13.46000",mm
Dimension : Width,"13.46000",mm

Time,Extension,Load,Compressive strain,Compressive stress,Cycle Count
(sec),(mm),(N),(mm/mm),(MPa),
"19.08800","-0.50547","-0.04846","0.14041","0.00027","15"
"19.18800","-0.33703","0.08478","0.09362","-0.00047","15"
"19.28800","-0.17016","0.01875","0.04727","-0.00010","15"
"19.38800","-0.00359","0.04492","0.00100","-0.00025","15"
"19.39200","0.00312","0.06432","-0.00087","-0.00036","15"
"19.39400","0.00641","0.07215","-0.00178","-0.00040","16"
"19.49400","-0.13000","0.03209","0.03611","-0.00018","16"
"19.59400","-0.32109","0.03585","0.08919","-0.00020","16"
"19.69400","-0.49453","0.05461","0.13737","-0.00030","16"
"19.79400","-0.66297","-0.06844","0.18416","0.00038","16"
"19.89400","-0.83000","-0.62668","0.23056","0.00346","16"
"19.99400","-0.99656","-1.60480","0.27682","0.00886","16"
"19.99800","-1.00328","-1.64831","0.27869","0.00910","16"
"20.00000","-1.00656","-1.67109","0.27960","0.00922","16"
"20.10000","-0.87000","-1.18799","0.24167","0.00656","16"
"20.20000","-0.67891","-0.08126","0.18859","0.00045","16"
"20.30000","-0.50547","0.03253","0.14041","-0.00018","16"
"20.40000","-0.33703","0.08421","0.09362","-0.00046","16"
"20.50000","-0.17016","0.00935","0.04727","-0.00005","16"
"20.60000","-0.00359","0.02787","0.00100","-0.00015","16"
"20.60400","0.00312","0.02864","-0.00087","-0.00016","16"
"20.60600","0.00641","0.02813","-0.00178","-0.00016","17"
"20.70600","-0.13000","0.04502","0.03611","-0.00025","17"
"20.80600","-0.32109","-0.03118","0.08919","0.00017","17"
"20.90600","-0.49453","0.01450","0.13737","-0.00008","17"
